stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
Alabama,1999,169,4430143,East South Central,South,AL,15.2,4.7
Alaska,1999,46,624781,Pacific,West,AK,7.6,6.5
Arizona,1999,511,5023824,Mountain,West,AZ,12.2,4.4
Arkansas,1999,113,2651860,West South Central,South,AR,14.7,4.6
California,1999,2662,33499204,Pacific,West,CA,14,5.2
Colorado,1999,349,4226018,Mountain,West,CO,8.5,3.1
Connecticut,1999,310,3386401,New England,Northeast,CT,7.2,2.9
Delaware,1999,50,774990,South Atlantic,South,DE,10.4,3.4
District of Columbia,1999,48,570220,South Atlantic,South,DC,14.7,6.4
Florida,1999,997,15759421,South Atlantic,South,FL,12.4,3.9
Georgia,1999,283,8045966,South Atlantic,South,GA,12.8,3.9
Hawaii,1999,80,1210300,Pacific,West,HI,10.8,5.4
Idaho,1999,64,1275675,Mountain,West,ID,14.1,4.9
Illinois,1999,825,12359023,East North Central,Midwest,IL,9.9,4.4
Indiana,1999,191,6044972,East North Central,Midwest,IN,6.7,3
Iowa,1999,53,2917637,West North Central,Midwest,IA,7.4,2.6
Kansas,1999,89,2678340,West North Central,Midwest,KS,12.3,3.3
Kentucky,1999,197,4018053,East South Central,South,KY,12.1,4.5
Louisiana,1999,188,4460814,West South Central,South,LA,19.2,5.1
Maine,1999,67,1266808,New England,Northeast,ME,10.6,4
Maryland,1999,629,5254511,South Atlantic,South,MD,7.3,3.6
Massachusetts,1999,488,6317345,New England,Northeast,MA,11.8,3.2
Michigan,1999,460,9897117,East North Central,Midwest,MI,9.7,3.7
Minnesota,1999,136,4873481,West North Central,Midwest,MN,7.3,2.8
Mississippi,1999,87,2828412,East South Central,South,MS,16.2,5.1
Missouri,1999,276,5561950,West North Central,Midwest,MO,11.7,3.3
Montana,1999,41,897511,Mountain,West,MT,15.8,5.3
Nebraska,1999,39,1704765,West North Central,Midwest,NE,11,2.8
Nevada,1999,227,1934719,Mountain,West,NV,11.3,4
New Hampshire,1999,54,1222015,New England,Northeast,NH,7.6,2.7
New Jersey,1999,557,8359593,Middle Atlantic,Northeast,NJ,7.8,4.5
New Mexico,1999,266,1808082,Mountain,West,NM,20.9,5.6
New York,1999,959,18882726,Middle Atlantic,Northeast,NY,14.2,5.2
North Carolina,1999,366,7949362,South Atlantic,South,NC,13.8,3.2
North Dakota,1999,12,644259,West North Central,Midwest,ND,13.1,3.3
Ohio,1999,467,11335457,East North Central,Midwest,OH,12,4.3
Oklahoma,1999,178,3437148,West South Central,South,OK,12.8,3.5
Oregon,1999,210,3393941,Pacific,West,OR,12.6,5.5
Pennsylvania,1999,990,12263805,Middle Atlantic,Northeast,PA,9.3,4.4
Rhode Island,1999,58,1040402,New England,Northeast,RI,10,4.2
South Carolina,1999,147,3974684,South Atlantic,South,SC,11.7,4.3
South Dakota,1999,17,750417,West North Central,Midwest,SD,7.7,2.7
Tennessee,1999,344,5638708,East South Central,South,TN,11.9,4
Texas,1999,1087,20558220,West South Central,South,TX,15.2,4.7
Utah,1999,205,2203483,Mountain,West,UT,5.7,3.5
Vermont,1999,29,604687,New England,Northeast,VT,9.6,3
Virginia,1999,366,7000176,South Atlantic,South,VA,7.9,2.7
Washington,1999,555,5842565,Pacific,West,WA,9.6,4.9
West Virginia,1999,75,1811801,South Atlantic,South,WV,15.7,6.5
Wisconsin,1999,212,5332666,East North Central,Midwest,WI,8.6,3.1
Wyoming,1999,20,491780,Mountain,West,WY,11.6,4.6
Alabama,2000,197,4451687,East South Central,South,AL,13.3,4.6
Alaska,2000,48,627428,Pacific,West,AK,7.6,6.4
Arizona,2000,522,5166810,Mountain,West,AZ,11.7,4
Arkansas,2000,140,2678217,West South Central,South,AR,16.5,4.3
California,2000,1941,33998767,Pacific,West,CA,12.7,4.9
Colorado,2000,352,4327788,Mountain,West,CO,9.8,2.8
Connecticut,2000,320,3411714,New England,Northeast,CT,7.7,2.4
Delaware,2000,55,786404,South Atlantic,South,DE,8.4,3.7
District of Columbia,2000,76,571723,South Atlantic,South,DC,15.2,5.6
Florida,2000,1159,16047246,South Atlantic,South,FL,11,3.7
Georgia,2000,364,8230053,South Atlantic,South,GA,12.1,3.6
Hawaii,2000,63,1211479,Pacific,West,HI,8.9,4.2
Idaho,2000,64,1299474,Mountain,West,ID,12.5,4.7
Illinois,2000,868,12437888,East North Central,Midwest,IL,10.7,4.3
Indiana,2000,214,6091392,East North Central,Midwest,IN,8.5,3.1
Iowa,2000,73,2928046,West North Central,Midwest,IA,8.3,2.6
Kansas,2000,103,2692681,West North Central,Midwest,KS,8,3.6
Kentucky,2000,241,4048831,East South Central,South,KY,12.6,4.2
Louisiana,2000,248,4468879,West South Central,South,LA,17.2,5.3
Maine,2000,61,1277179,New England,Northeast,ME,10.1,3.4
Maryland,2000,623,5310451,South Atlantic,South,MD,7.4,3.6
Massachusetts,2000,463,6362583,New England,Northeast,MA,9.8,2.7
Michigan,2000,561,9955146,East North Central,Midwest,MI,9.9,3.6
Minnesota,2000,130,4933787,West North Central,Midwest,MN,5.7,3.2
Mississippi,2000,114,2848293,East South Central,South,MS,14.9,5.4
Missouri,2000,303,5605868,West North Central,Midwest,MO,9.2,3.6
Montana,2000,41,903283,Mountain,West,MT,14.1,5
Nebraska,2000,46,1713194,West North Central,Midwest,NE,8.6,2.8
Nevada,2000,273,2018244,Mountain,West,NV,8.8,4.2
New Hampshire,2000,45,1240361,New England,Northeast,NH,4.5,2.7
