employed,black,female,educ,exper
1,0,1,HS Graduate,20
0,0,0,HS Graduate,20
1,1,1,HS Dropout,12
1,1,0,HS Dropout,17
0,1,1,HS Graduate,21
1,0,1,College or Higher,13
1,0,0,Some College,15
1,0,1,College or Higher,5
1,0,1,College or Higher,3
0,0,1,College or Higher,4
1,0,0,College or Higher,6
1,0,0,HS Graduate,11
1,0,1,Some College,14
1,1,1,HS Graduate,13
1,0,0,Some College,29
0,0,1,Some College,29
1,0,0,HS Graduate,2
1,0,1,College or Higher,9
1,0,0,College or Higher,9
0,0,0,Some College,35
0,0,1,Some College,37
1,0,0,HS Dropout,41
1,0,1,HS Dropout,43
1,0,1,College or Higher,5
1,0,0,College or Higher,18
1,0,1,College or Higher,17
1,0,1,HS Graduate,44
1,0,1,HS Graduate,13
1,0,1,HS Dropout,22
1,0,0,HS Dropout,24
1,1,1,HS Graduate,32
1,1,1,Some College,3
1,1,1,HS Dropout,11
1,1,1,Some College,33
1,1,1,HS Graduate,32
1,0,1,College or Higher,2
1,0,0,College or Higher,10
1,0,1,HS Graduate,30
1,0,0,Some College,40
1,0,1,HS Graduate,4
0,1,1,Some College,4
0,1,1,HS Graduate,9
1,0,0,College or Higher,29
1,0,1,College or Higher,6
1,0,0,College or Higher,7
1,0,1,College or Higher,5
1,0,0,Some College,1
1,0,1,College or Higher,1
1,0,1,College or Higher,3
1,1,0,HS Graduate,20
0,1,0,HS Graduate,21
1,0,1,College or Higher,32
1,0,0,College or Higher,15
1,0,0,College or Higher,10
1,0,1,College or Higher,10
1,0,0,College or Higher,23
1,0,1,Some College,19
1,1,0,HS Graduate,30
1,0,1,College or Higher,30
1,0,1,College or Higher,13
1,1,0,Some College,12
0,1,0,HS Graduate,17
1,0,1,Some College,3
1,0,0,Some College,1
1,0,0,College or Higher,31
1,0,1,Some College,29
1,0,0,College or Higher,4
1,0,0,College or Higher,2
1,1,1,HS Dropout,13
1,0,0,College or Higher,3
1,0,1,College or Higher,1
1,1,0,College or Higher,6
1,1,1,College or Higher,6
1,1,1,Some College,7
1,0,0,HS Dropout,26
1,0,1,HS Dropout,13
0,1,1,College or Higher,2
1,1,0,HS Graduate,11
0,1,1,Some College,34
